,,,Totalt,1 2 3 4,DA232-4X,,1 2 3 4,DA234X,,1 2,DM1579,,1 summer,DH1621,,1,DH2400,,2,DH2408,,1 2,DH2465,,1 2 3 4,DH2466,,1,DH1622,,2,Dm2712,,1 2,DM2630,,1 2,DH2632,,1 2,DH2655,,1 2,DM1581,,1 2 3 4,DM1578,,2,DM2500,,2,DM2517,,1,DM2572,,2,DM2573,,2,DM2579,,1 2 3 4,DM2904-6,,1,DM2601,,1 2 3 4,DM2679,,1 2,DM2350,,1 2 3 4,DM2575,,2,DM2799,,2,DM2584,,1 2,DH2642,,1,IC1007,,2,IC2005,,1 2,DH2650,,2,DD2470,,1 2,DH2413,,1,DD2257,,2,DT2140,30,2,DT2410,,2,DM1135,,1,DH2643,,1,DM1595,
,,,,Ex,Susan Bones,56,,,,Ovn,UNKNOWN MID,4,,,,,,,Frl,Dennis Creevey,6,,,,,,,Ex,Albus Dumbledore,45,,,,Ha,Dudley Dursley,25,,,,,,,Frl,Arabella Figg,5,Frl,Cho Chang,20,,,,,,,,,,Ovn,Millicent Bulstrode,38,,,,,,,Ex,Mrs. Cole,63,,,,Ha,Madam Hooch,6,,,,Ha,Petunia Dursley (née Evans),8,,,,,,,,,,,,,,,,,,,,,,Ku,Bellatrix Lestrange,10,La,Dawlish,16,,,,Ha,Michael Corner,15,Adm,Michael Corner,,Adm,Michael Corner,
,,,,Ex,Mary Cattermole,,,,,Frl,Fö Extern MID,18,,,,,,,,,,,,,,,,Ex,Terry Boot,45,,,,Ha,Ludo Bagman,25,,,,,,,Ovn,Mary Cattermole,6,Ku,Cho Chang,48,,,,,,,,,,Ex,Millicent Bulstrode,28,,,,,,,,,,,,,Ha,Dawlish,4,,,,Ha,Cedric Diggory,15,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Florean Fortescue,24,,,,Ku,Michael Corner,40,Adm,Cormac McLaggen,,Adm,Cormac McLaggen,
,,,,Ex,Angelina Johnson,40,,,,,,,,,,,,,,,,,,,,,,Ku,Terry Boot,15,,,,,,,,,,,,,Ovn,Dawlish,19,,,,,,,,,,,,,Frl,Phineas Nigellus Black,20,,,,,,,,,,,,,Ha,Gabrielle Delacour,6,,,,Ha,Marcus Belby,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Ernie Macmillan,75,,,,,,
,,,,Ex,Cuthbert Binns,56,,,,La,Lab handl Teknolog MID,23,,,,,,,,,,,,,,,,Ex,Terry Boot,60,,,,,,,,,,,,,Ovn,Justin Finch-Fletchley,19,,,,,,,,,,,,,Adm,Millicent Bulstrode,24,,,,,,,,,,,,,Ha,Filius Flitwick,4,,,,Ha,Frank Bryce,28,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Angelina Johnson,23,,,,Ex,,,,,,,,
,,,,Ex,Rubeus Hagrid,56,,,,La,Lab handl Teknolog MID,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ku,Mary Cattermole,12,,,,,,,,,,,,,Frl,Frl Gratis,30,,,,,,,,,,,,,Ha,Michael Corner,4,,,,Ha,Mafalda Hopkirk,14,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Argus Filch,23,,,,,,,,,,,,
,,,,Ex,Amelia Bones,40,,,,La,Lab handl Teknolog MID,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Mary Cattermole,8,,,,,,,,,,,,,Frl,Cedric Diggory,10,,,,,,,,,,,,,Ha,Elphias Doge,4,,,,Ha,UNKNOWN MID,14,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Katie Bell,23,,,,,,,,,,,,
,,,,Ex,Katie Bell,56,,,,La,Justin Finch-Fletchley,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Mary Cattermole,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Rodolphus Lestrange,8,,,,Ha,Igor Karkaroff,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ex,Elphias Doge,56,,,,La,UNKNOWN MID,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Millicent Bulstrode,24,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Mafalda Hopkirk,16,,,,,,,,,,,,
,,,,Ex,Bertha Jorkins,128,,,,La,Elphias Doge,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adm,Mary Cattermole,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Madam Hooch,34,,,,Ha,UNKNOWN MID,6,,,,,,,,,,,,,,,,,,,,,,,,,Ha,Igor Karkaroff,23,,,,,,,,,,,,
,,,,Ex,Frank Bryce,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La,Dawlish,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Dawlish,23,,,,Ha,Fö Extern MID,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ex,UNKNOWN MID,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,La,Justin Finch-Fletchley,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Elphias Doge,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ha,NN Doktorand,16,,,,,,,,,,,,
,,,,,,,,,,Ex,Justin Finch-Fletchley,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Katie Bell,34,,,,Ex,UNKNOWN MID,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Hannah Abbott,,,,,Adm,Elphias Doge,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adm,Lab handl Teknolog MID,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Michael Corner,2.285714286,,,,Ex,Angelina Johnson,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Ludo Bagman,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Filius Flitwick,23,,,,Ex,Petunia Dursley (née Evans),3,,,,,,,,,,,,,,,,,,,,,,,,,Ha,NN Doktorand,16,,,,,,,,,,,,
,,,,Ha,Marcus Belby,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Gabrielle Delacour,34,,,,Ex,Cedric Diggory,6,,,,,,,,,,,,,,,,,,,,,,,,,Ha,NN Doktorand,16,,,,,,,,,,,,
,,,,Ha,Katie Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Rodolphus Lestrange,46,,,,Ex,Marcus Belby,3,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Florean Fortescue,60,,,,,,,,,,,,
,,,,Ha,Cuthbert Binns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Michael Corner,16,,,,Ex,Frank Bryce,11,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Rubeus Hagrid,60,,,,,,,,,,,,
,,,,Ha,Phineas Nigellus Black,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Mafalda Hopkirk,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Sirius Black,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,UNKNOWN MID,5,,,,,,,,,,,,,,,,,,,,,,,,,Adm,Florean Fortescue,64,,,,,,,,,,,,
,,,,Ha,Amelia Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Igor Karkaroff,1,,,,,,,,,,,,,,,,,,,,,,,,,Ku,Florean Fortescue,15,,,,,,,,,,,,
,,,,Ha,Susan Bones,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Millicent Bulstrode,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HaH,Terry Boot,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,UNKNOWN MID,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Millicent Bulstrode,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ex,Fö Extern MID,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Charity Burbage,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Reginald Cattermole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Mary Cattermole,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Cho Chang,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Penelope Clearwater,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HaH,Mrs. Cole,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Michael Corner,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Arabella Figg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Marcus Flint,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Mundungus Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Roger Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Dawlish,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Fleur Delacour,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Gabrielle Delacour,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Justin Finch-Fletchley,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Cedric Diggory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Elphias Doge,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Argus Filch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Dudley Dursley,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Marjorie (Marge) Dursley,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Petunia Dursley (née Evans),68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Vernon Dursley,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Frank Bryce,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HaH,NN Doktorand,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,HaH,NN Doktorand,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Mafalda Hopkirk,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Igor Karkaroff,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Antonin Dolohov,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Garrick Ollivander,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Bertha Jorkins,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Fö Extern MID,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Frank Longbottom,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Fö Extern MID,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ha,Angelina Johnson,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
