,,,Totalt,1 2 3 4,DA232-4X,,1 2 3 4,DA234X,,1 2,DM1579,,1 summer,DH1621,,1,DH2400,,2,DH2408,,1 2,DH2465,,1 2 3 4,DH2466,,1,DH1622,,2,Dm2712,,1 2,DM2630,,1 2,DH2632,,1 2,DH2655,,1 2,DM1581,,1 2 3 4,DM1578,,2,DM2500,,2,DM2517,,1,DM2572,,2,DM2573,,2,DM2579,,1 2 3 4,DM2904-6,,1,DM2601,,1 2 3 4,DM2679,,1 2,DM2350,,1 2 3 4,DM2575,,2,DM2799,,2,DM2584,,1 2,DH2642,,1,IC1007,,2,IC2005,,1 2,DH2650,,2,DD2470,,1 2,DH2413,,1,DD2257,,2,DT2140,30,2,DT2410,,2,DM1135,,1,DH2643,,1,DM1595,
,Övning (Ovn),h,1725.7,0,,0,0,,0,10,<,16,8,,8,8,,8,20,,20,9,<,15,0,,0,216,,216,0,,0,57,,57,0,,0,0,,0,35,<,44,250,<,260,0,,0,0,,0,76,,76,151,,151,0,,0,0,,0,162,,162,200,,200,10,,10,16,,16,45,,45,0,,0,32,,32,70,>,0,38,,38,22,,22,0,,0,0,,0,49,,49,45,,45,18,,18,60,,60,60,>,0,60,>,0
,Laboration (La),h,1209,0,,0,0,,0,56,<,138,0,,0,136,,136,0,<,30,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,19,,19,0,,0,24,,24,51,>,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,14,,14,0,,0,0,,0,0,,0,464,,464,0,,0,0,,0,7,,7,0,,0,42,,42,0,,0,162,,162,84,,84,50,,50,50,>,0,50,>,0
,Handledning (Ha),h,2708,1 853,<,2 108,0,,0,23,,23,0,,0,0,,0,37,,37,13,,13,4,,4,0,,0,15,,15,50,,50,0,,0,0,,0,8,,8,0,,0,17,,17,0,,0,12,,12,14,,14,3,,3,113,,113,15,,15,0,,0,40,,40,0,,0,148,,148,40,>,0,32,,32,0,,0,5,,5,0,,0,18,,18,14,,14,13,,13,180,,180,3,,3,15,,15,8,,8,15,,15
,Examination (Ex),h,3698,872,<,904,0,,0,105,,105,4,,4,55,<,70,106,,106,130,,130,8,,8,240,,240,225,,225,63,,63,188,,188,11,,11,75,,75,40,,40,36,,36,0,,0,54,,54,85,,85,15,,15,0,,0,188,,188,30,,30,240,<,256,36,,36,111,>,111,30,>,0,128,,128,0,,0,36,,36,70,,70,14,,14,68,,68,101,,101,120,,120,24,,24,75,,75,40,,40,75,,75
,Kursutveckling (Ku),h,795.00,0,,0,0,,0,12,,12,6,<,17,30,>,15,8,,8,24,,24,8,>,0,15,,15,0,,0,18,,18,6,,6,18,,18,12,,12,48,,48,15,,15,15,>,0,20,,20,15,,15,15,,15,0,,0,15,,15,20,,20,15,,15,4,,4,15,,15,15,>,0,50,,50,40,>,0,40,,40,12,,12,12,,12,12,,12,30,,30,15,,15,15,,15,40,,40,80,>,0,80,>,0
,Administration (Adm),h,2207,486,,486,28,>,0,54,<,74,30,>,10,61,,61,39,,39,41,<,58,10,,10,60,,60,43,,43,37,,37,36,,36,30,<,47,55,,55,78,,78,43,,43,38,>,0,35,,35,47,,47,37,,37,31,,31,49,,49,68,,68,54,,54,36,,36,59,,59,36,>,20,72,,72,31,>,0,39,,39,54,,54,39,,39,45,,45,42,,42,64,,64,42,>,10,55,,55,48,>,0,55,>,0
,Totalt,h,14029.8,3211,<,3498,28,>,0,313,<,431,84,>,75,346,,346,258,<,288,241,<,272,30,>,22,583,,583,323,,323,281,,281,266,,266,134,<,171,294,<,321,436,<,446,200,,200,134,>,0,245,,245,472,,472,85,<,95,144,,144,465,,465,318,,318,445,<,477,92,,92,390,>,390,121,>,20,888,,888,204,>,0,188,,188,205,,205,93,,93,261,,261,323,,323,634,,634,246,>,220,340,,340,331,>,48,380,>,90
,Lärartimmar/elevpoäng,h,#DIV/0!,,1.07,,,#DIV/0!,,,0.96,,,6.25,,,0.84,,,0.91,,,0.7,,,3.67,,,0.65,,,0.72,,,1.25,,,1.18,,,1.27,,,0.71,,,0.96,,,1.11,,,#DIV/0!,,,1.42,,,0.93,,,0.42,,,1.28,,,0.83,,,2.12,,,0.8,,,1.28,,,0.7,,,0.13,,,0.74,,,0,,,1.04,,,0.68,,,1.71,,,0.85,,,0.68,,,0.7,,,2.1,,,0.6,,,0.16,,,0.16,
,Emplyee cost+LKP,kr,,,1 210 751,,,0,,,131 372,,,54 000,,,55 317,,,121 244,,,99 099,,,11 677,,,160 527,,,108 072,,,97 256,,,99 323,,,58 601,,,85 641,,,162 448,,,53 725,,,0,,,79 833,,,136 685,,,30 127,,,46 758,,,148 673,,,124 786,,,170 288,,,41 639,,,124 555,,,9 642,,,175 164,,,0,,,72 495,,,57 192,,,47 569,,,83 469,,,120 542,,,253 247,,,71 403,,,106 950,,,18 703,,,34 941,
,,,,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h
MID_Ekonomi,34,,Kursledare,Adm,Mundungus Fletcher,243,Adm,Susan Bones,,Frl,Elphias Doge,35,Frl,Reginald Cattermole,36,Frl,Vincent Crabbe,32,Frl,Argus Filch,18,Frl,Seamus Finnigan,24,Ex,Hannah Abbott,8,Adm,Terry Boot,60,Frl,Penelope Clearwater,40,Adm,Ludo Bagman,37,Frl,Arabella Figg,12,Frl,Igor Karkaroff,75,Frl,Mary Cattermole,33,Adm,Cho Chang,78,Frl,Mary Cattermole,30,Frl,Cho Chang,,Adm,Penelope Clearwater,35,Frl,Cedric Diggory,70,Adm,Elphias Doge,37,Adm,Petunia Dursley (née Evans),31,Frl,Mundungus Fletcher,36,Adm,Frank Bryce,68,Frl,Michael Corner,40,Adm,Susan Bones,36,Adm,Terry Boot,39,Adm,Susan Bones,20,Frl,Marcus Belby,90,Adm,Terry Boot,,Adm,Neville Longbottom,39,Frl,Igor Karkaroff,12,Frl,Bertha Jorkins,10,Frl,Angelina Johnson,80,Frl,Bertha Jorkins,88,Frl,Florean Fortescue,18,Frl,Cornelius Fudge,40,Adm,Michael Corner,28,Frl,Marcus Belby,,Frl,UNKNOWN MID,
MID_HT,,,,Adm,Marjorie (Marge) Dursley,146,Adm,,,,,,Adm,Reginald Cattermole,10,Frl,Fö Extern MID,16,Frl,Millicent Bulstrode,12,Ovn,Seamus Finnigan,9,Ku,Hannah Abbott,,Frl,Reginald Cattermole,8,Adm,Penelope Clearwater,43,,,,Ex,Marcus Flint,94,Ex,Igor Karkaroff,11,Frl,Katie Bell,5,,,,Frl,Fö Extern MID,30,,,,Ovn,Penelope Clearwater,76,Frl,Fö Extern MID,20,La,Lab handl Teknolog MID,0,Ha,Petunia Dursley (née Evans),113,Ovn,Frank Bryce,54,,,,Frl,Astoria Greengrass,6,Ovn,Susan Bones,8,Adm,Sirius Black,20,Ha,UNKNOWN MID,,Ku,Marcus Belby,50,Ha,Terry Boot,,Ha,Neville Longbottom,5,Ovn,Igor Karkaroff,22,,,,La,Angelina Johnson,21,Ex,Bertha Jorkins,34,Frl,Draco Malfoy,6,Frl,Frl Gratis,20,Adm,UNKNOWN MID,28,Ovn,Marcus Belby,,Ovn,UNKNOWN MID,
