,,,Totalt,3 4,DH1620,,3,DH2400,,4,DH2624,,3,DT2300,,3,DH2628,,4,DH2629,,3 4,DH2632,,4,DH2670,,3 4,DH2642,,3 4,DM128-9X,,3 4,DM1580,,4,DM2518,,3,DM2556,,3,DM2562,,4,DM2563,,4,DM2578,,4,DM2582,,3,DM2583,,4,DM2720,,4,DT2213,,3,DM2624,,3,DM2077,,3,DH2320,,3,DH2321,,4,DH2323,,3,DD2258,,3,DT2212,,1 2  3 4,DT2215,,3,DM1590,,4,DM1588,,3 4,DH1609,,3 4,DM2585,,3,DT1175,
,Examination (Ex),h,2561,432,,432,23,,23,25,,25,66,,66,53,,53,43,,43,100,,100,54,,54,80,,80,228,<,284,65,,65,90,,90,81,,81,39,,39,24,,24,0,,0,45,,45,36,,36,6,,6,32,,32,76,,76,88,,88,192,,192,184,,184,102,<,123,24,,24,28,,28,0,,0,75,,75,60,,60,130,,130,5,,5,75,,75
,Kursutveckling (Ku),h,737,40,,40,30,,30,3,,3,30,,30,15,,15,15,,15,6,,6,12,,12,100,,100,8,<,20,12,,12,12,,12,15,<,31,15,,15,15,,15,40,>,0,20,,20,20,,20,15,<,23,15,,15,60,>,37,15,,15,15,,15,12,,12,12,>,2,3,,3,30,,30,,,0,40,,40,40,,40,17,<,33,40,,40,15,,15
,Administration (Adm),h,1466,106,,106,48,,48,10,,10,43,,43,35,,35,33,,33,32,,32,46,,46,59,,59,58,,58,52,,52,50,,50,38,,38,38,,38,40,,40,28,>,0,35,,35,44,,44,30,,30,43,,43,33,,33,33,,33,56,,56,56,,56,58,,58,38,>,5,41,,41,28,>,0,54,,54,52,,52,56,,56,30,,30,63,>,40
,Totalt,h,10154.6,1 170,,1 170,301,<,313,59,,59,252,<,260,218,,218,206,,206,174,,174,235,,235,657,,657,906,<,970,333,,333,311,,311,360,<,376,205,,205,226,,226,68,>,0,193,,193,211,,211,186,<,193,222,<,257,261,>,238,222,,222,456,,456,334,,334,346,<,385,85,>,50,184,,184,28,>,0,339,,339,350,,350,537,<,553,168,,168,352,>,329
,Lärartimmar/elevpoäng,h,#DIV/0!,,0.68,,,1.81,,,1.72,,,1.58,,,1.38,,,1.62,,,1.45,,,1.04,,,0.88,,,1.13,,,0.85,,,0.69,,,1.85,,,1.05,,,1.89,,,#DIV/0!,,,0.86,,,1.17,,,5.15,,,2.14,,,1.67,,,1.35,,,0.63,,,0.61,,,0.63,,,0.69,,,1.75,,,#DIV/0!,,,0.6,,,0.97,,,1.13,,,5.6,,,0.58,
,Emplyee cost+LKP,h,,,273110,,,90064,,,16715,,,95739,,,72131,,,58754,,,62329,,,79235,,,140489,,,339079,,,132070,,,18720,,,98063,,,0,,,0,,,0,,,87421,,,89572,,,42005,,,73455,,,88645,,,0,,,151975,,,110697,,,120845,,,26047,,,78275,,,0,,,107537,,,89261,,,103978,,,68923,,,122866,
,,,,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h,Vad,Vem,h
MID_Ekonomi,73,,Kursledare,Adm,Terry Boot,106,Frl,Frank Bryce,32,Frl,Terry Boot,5,Frl,Katie Bell,38,Frl,Ludo Bagman,18,Adm,Ludo Bagman,17,Frl,Arabella Figg,12,Frl,Argus Filch,18,Frl,Marcus Belby,90,Adm,Petunia Dursley (née Evans),58,Frl,Fleur Delacour,57,Frl,Dirk Cresswell,39,Frl,Susan Bones,32,Adm,Antonin Dolohov,38,Adm,Antonin Dolohov,40,Adm,Amelia Bones,,Frl,Fleur Delacour,24,Frl,Fleur Delacour,42,Frl,Millicent Bulstrode,32,Frl,Charity Burbage,30,Frl,Charity Burbage,8,Frl,NN Lektor,54,Frl,Bertha Jorkins,60,Frl,Angelina Johnson,48,Frl,Mafalda Hopkirk,84,Adm,Bertha Jorkins,5,Frl,Filius Flitwick,28,Adm,Filius Flitwick,,Adm,Gellert Grindelwald,54,Adm,Gabrielle Delacour,52,Frl,Amelia Bones,40,Adm,Penelope Clearwater,30,Frl,Cornelius Fudge,60
MID_VT,,,,Frl,Reginald Cattermole,8,Frl,Fö Extern MID,16,Ovn,Terry Boot,16,Frl,Michael Corner,5,Ovn,Ludo Bagman,38,Ovn,Ludo Bagman,28,Ex,Marcus Flint,50,Frl,Dedalus Diggle,6,Ku,Marcus Belby,60,Frl,Cedric Diggory,18,La,Lab handl Teknolog MID,114,La,Dirk Cresswell,36,Frl,Fö Extern MID,12,Ha,Antonin Dolohov,5,Ha,Antonin Dolohov,32,,,,Frl,Penelope Clearwater,24,Frl,Penelope Clearwater,6,,,,Frl,Katie Bell,10,Ku,Charity Burbage,31,Ovn,NN Lektor,10,Adm,Bellatrix Lestrange,28,La,Angelina Johnson,16,,,,,,,Ku,Filius Flitwick,30,Ex,Cornelius Fudge,0,Ex,Gellert Grindelwald,38,Ex,Gabrielle Delacour,30,Frl,Fö Extern MID,24,Ex,Penelope Clearwater,3,Frl,Filius Flitwick,6
,,,,Frl,Arabella Figg,8,,,,Ex,Terry Boot,25,Frl,Charity Burbage,7.5,Ovn,Sirius Black,38,Ovn,Marjorie (Marge) Dursley,14,Adm,Marcus Flint,32,Frl,Alecto Carrow,18,Frl,Fö Extern MID,20,Ovn,Cedric Diggory,24,Ha,Fleur Delacour,13,Ha,Dirk Cresswell,12,Ovn,Susan Bones,118,Ex,Antonin Dolohov,39,Ex,Antonin Dolohov,24,Frl,Cedric Diggory,,,,,La,Lab handl Teknolog MID,38,Frl,Frl Gratis,64,,,,Ku,Reginald Cattermole,6,Ha,NN Lektor,22,Ku,Bertha Jorkins,5,Ha,Angelina Johnson,18,Ha,Mafalda Hopkirk,20,Frl,Fleur Delacour,8,Adm,Filius Flitwick,37,Ha,Filius Flitwick,0,Ex,Michael Corner,38,Ex,UNKNOWN MID,30,Frl,Colin Creevey,24,Ha,Penelope Clearwater,1,,,
,,,,Frl,Terry Boot,36,Ex,Frank Bryce,23,Ku,Terry Boot,3,Frl,Frl Gratis,5,Frl,Sirius Black,18,,,,Ex,Arabella Figg,50,Frl,Fö Extern MID,6,La,Lab handl Teknolog MID,227,Ex,Susan Bones,64,Ex,Fleur Delacour,65,Ex,Dirk Cresswell,45,,,,Ku,Antonin Dolohov,15,Ku,Antonin Dolohov,15,Ovn,Amelia Bones,,Ex,Penelope Clearwater,22.5,Ex,Penelope Clearwater,18,Ovn,Millicent Bulstrode,30,,,,Adm,Charity Burbage,33,Ex,NN Lektor,88,,,,Ex,Angelina Johnson,92,Ex,Mafalda Hopkirk,12,Ku,Fleur Delacour,3,,,,,,,Frl,Gellert Grindelwald,48,Frl,Gabrielle Delacour,40,,,,Frl,Penelope Clearwater,40,Frl,Ernie Macmillan,6
,,,,,,,,,,Adm,Terry Boot,10,Frl,Elphias Doge,5,,,,Adm,Marjorie (Marge) Dursley,16.5,Ku,Arabella Figg,6,Frl,Frank Bryce,6,Ha,Lab handl Teknolog MID,20,Ex,Cornelius Fudge,36,Ku,Fleur Delacour,12,Ku,Dirk Cresswell,12,Ex,Colin Creevey,81,Frl,Antonin Dolohov,108,Frl,Antonin Dolohov,48,Ovn,Amelia Bones,,Ex,Fleur Delacour,22.5,Ex,Fleur Delacour,18,Ha,Millicent Bulstrode,1,Ovn,Charity Burbage,23,Ex,Charity Burbage,19,Ku,NN Lektor,15,Ex,Bertha Jorkins,64,Ku,Angelina Johnson,12,Ku,Mafalda Hopkirk,2,,,,,,,,,,Frl,Michael Corner,48,Ha,Lab handl Teknolog MID,12,Adm,Amelia Bones,28,Ovn,Penelope Clearwater,6,,,
,,,,Ovn,Igor Karkaroff,54,Adm,UNKNOWN MID,48,,,,Ovn,Katie Bell,4,,,,Ex,Marjorie (Marge) Dursley,29,Frl,Fö Extern MID,18,Frl,Lab handl Teknolog MID,6,Ex,Lab handl Teknolog MID,80,Ex,Hannah Abbott,32,Adm,Fleur Delacour,52,Adm,Dirk Cresswell,50,Ku,Susan Bones,15,,,,Ovn,Antonin Dolohov,67,Ex,Amelia Bones,,,,,,,,Ex,Millicent Bulstrode,3,Ku,Charity Burbage,15,Ovn,Charity Burbage,15,Adm,NN Lektor,33,Ha,Bertha Jorkins,12,Adm,Angelina Johnson,56,Adm,Mafalda Hopkirk,58,Ha,Fleur Delacour,10,La,Lab handl Teknolog TMH,30,,,,La,NN Doktorand,22,Ovn,Gabrielle Delacour,20.4,Ku,Amelia Bones,17,Ku,Penelope Clearwater,20,Ovn,NN Doktorand,20
,,,,Ovn,Vernon Dursley,54,Ku,UNKNOWN MID,30,,,,Ovn,Justin Finch-Fletchley,4,Ha,Ludo Bagman,4,Ex,Ludo Bagman,14,Frl,Marcus Flint,6,Ku,Argus Filch,12,La,Lab handl Teknolog MID,45,Ex,Cuthbert Binns,76,,,,La,Lab handl Teknolog MID,72,Adm,Susan Bones,38,,,,,,,Ku,Amelia Bones,,,,,,,,Ex,Phineas Nigellus Black,3,Adm,Charity Burbage,43,Frl,Reginald Cattermole,8,,,,Ha,Viktor Krum,12,Ex,Bellatrix Lestrange,92,La,Rodolphus Lestrange,33,Ex,Fleur Delacour,24,Ha,Filius Flitwick,7,,,,La,NN Doktorand,22,Ovn,Lab handl Teknolog MID,20,Ex,Colin Creevey,87,Frl,Fleur Delacour,40,Ovn,Cornelius Fudge,20
,,,,Ovn,Dudley Dursley,54,,,,,,,Ovn,Dawlish,4,Ku,Ludo Bagman,8,,,,,,,,,,Adm,Marcus Belby,15,Ku,Petunia Dursley (née Evans),20,,,,,,,Frl,Colin Creevey,4,,,,,,,Frl,Amelia Bones,,Adm,Fleur Delacour,35,Adm,Fleur Delacour,44,Adm,Millicent Bulstrode,30,Ha,Charity Burbage,16,Ha,Charity Burbage,19,,,,Ovn,Bellatrix Lestrange,49,,,,La,Bellatrix Lestrange,14,,,,Adm,Cornelius Fudge,4,,,,Ha,Gellert Grindelwald,8,La,Gabrielle Delacour,35,Ex,Amelia Bones,43,Ovn,Fleur Delacour,6,La,Lab handl Teknolog TMH,36
